"anio","pais","iso3","pbi_per_capita_ppa_porcentaje_argentina"
2003,"Austria","AUT",275.531507539636
2004,"Austria","AUT",260.56917161372
2005,"Austria","AUT",245.323101302646
2006,"Austria","AUT",235.692741912549
2007,"Austria","AUT",225.270521939726
2008,"Austria","AUT",221.188556988594
2009,"Austria","AUT",227.732195605353
2010,"Austria","AUT",212.267475794255
2011,"Austria","AUT",207.198920161976
2012,"Austria","AUT",212.077146793204
2013,"Austria","AUT",208.1970512756
2014,"Austria","AUT",215.492884324662
2015,"Austria","AUT",211.74238539637
2016,"Austria","AUT",219.576158940397
2017,"Austria","AUT",219.663438543088
2018,"Austria","AUT",231.66190632314
2019,"Austria","AUT",243.080230266772
2020,"Austria","AUT",253.69400189334
2021,"Austria","AUT",239.843585687544
2022,"Austria","AUT",240.789532345567
1900,"Bélgica","BEL",129.762164521056
1901,"Bélgica","BEL",129.122195600087
1902,"Bélgica","BEL",137.612560609559
1903,"Bélgica","BEL",126.085133151604
1904,"Bélgica","BEL",119.760125835627
1905,"Bélgica","BEL",111.596032461677
1906,"Bélgica","BEL",111.340941512126
1907,"Bélgica","BEL",113.674283641639
1908,"Bélgica","BEL",107.548464573683
1909,"Bélgica","BEL",107.36092265943
1910,"Bélgica","BEL",106.336178594879
1911,"Bélgica","BEL",110.735220231117
1912,"Bélgica","BEL",107.729390968986
1913,"Bélgica","BEL",111.15333773959
1914,"Bélgica","BEL",118.81056431693
1915,"Bélgica","BEL",118.932508218913
1916,"Bélgica","BEL",131.987010351126
1917,"Bélgica","BEL",126.129975264223
1918,"Bélgica","BEL",88.0819007146996
1919,"Bélgica","BEL",102.485296907608
1920,"Bélgica","BEL",114.071531791908
1921,"Bélgica","BEL",116.844388216158
1922,"Bélgica","BEL",121.35955831608
1923,"Bélgica","BEL",116.304522774827
1924,"Bélgica","BEL",114.371905940594
1925,"Bélgica","BEL",119.065151272611
1926,"Bélgica","BEL",119.792648444863
1927,"Bélgica","BEL",118.445283018868
1928,"Bélgica","BEL",119.751461988304
1929,"Bélgica","BEL",115.730498491596
1930,"Bélgica","BEL",122.03598339228
1931,"Bélgica","BEL",130.927835051546
1932,"Bélgica","BEL",130.798004987531
1933,"Bélgica","BEL",129.261954261954
1934,"Bélgica","BEL",120.264317180617
1935,"Bélgica","BEL",123.904066073698
1936,"Bélgica","BEL",125.577293136626
1937,"Bélgica","BEL",120.273764258555
1938,"Bélgica","BEL",118.656601448159
1939,"Bélgica","BEL",124.153055051422
1940,"Bélgica","BEL",109.633649932157
1941,"Bélgica","BEL",101.25346159452
1942,"Bélgica","BEL",93.2933079513838
1943,"Bélgica","BEL",93.4293429342934
1944,"Bélgica","BEL",89.7931223455268
1945,"Bélgica","BEL",99.4814921503673
1946,"Bélgica","BEL",98.0500268961807
1947,"Bélgica","BEL",94.3170611439842
1948,"Bélgica","BEL",95.6521739130435
1949,"Bélgica","BEL",102.896208825357
1950,"Bélgica","BEL",109.523210466725
1951,"Bélgica","BEL",113.294583230275
1952,"Bélgica","BEL",120.162255619098
1953,"Bélgica","BEL",119.37186253057
1954,"Bélgica","BEL",121.063240110859
1955,"Bélgica","BEL",119.908960229995
1956,"Bélgica","BEL",121.521842355176
1957,"Bélgica","BEL",118.931648477886
1958,"Bélgica","BEL",113.046350324783
1959,"Bélgica","BEL",126.083313382811
1960,"Bélgica","BEL",125.053605687846
1961,"Bélgica","BEL",123.726455479452
1962,"Bélgica","BEL",133.572770471875
1963,"Bélgica","BEL",144.128809660725
1964,"Bélgica","BEL",140.747406309549
1965,"Bélgica","BEL",134.347612013786
1966,"Bélgica","BEL",138.834855101231
1967,"Bélgica","BEL",141.774509803922
1968,"Bélgica","BEL",143.147353361946
1969,"Bélgica","BEL",142.364268520995
1970,"Bélgica","BEL",145.321763038062
1971,"Bélgica","BEL",145.680246605015
1972,"Bélgica","BEL",150.665571076417
1973,"Bélgica","BEL",152.856354897171
1974,"Bélgica","BEL",151.708822643782
1975,"Bélgica","BEL",153.182450177661
1976,"Bélgica","BEL",164.744801512287
1977,"Bélgica","BEL",158.847083711091
1978,"Bélgica","BEL",173.617807778849
1979,"Bélgica","BEL",168.47643739515
1980,"Bélgica","BEL",176.299694189602
1981,"Bélgica","BEL",187.711340206186
1982,"Bélgica","BEL",199.748917748918
1983,"Bélgica","BEL",195.932059447983
1984,"Bélgica","BEL",199.746557404748
1985,"Bélgica","BEL",219.11886186324
1986,"Bélgica","BEL",210.343030829353
1987,"Bélgica","BEL",212.945929682799
1988,"Bélgica","BEL",230.389541088581
1989,"Bélgica","BEL",256.807466564033
1990,"Bélgica","BEL",267.329822508289
1991,"Bélgica","BEL",248.11423987353
1992,"Bélgica","BEL",229.880016523485
1993,"Bélgica","BEL",215.500053660476
1994,"Bélgica","BEL",211.522349069098
1995,"Bélgica","BEL",224.43837131607
1996,"Bélgica","BEL",217.424763603585
1997,"Bélgica","BEL",209.841919199972
1998,"Bélgica","BEL",207.301653417842
1999,"Bélgica","BEL",223.432907511092
2000,"Bélgica","BEL",234.671196447012
2001,"Bélgica","BEL",248.486590149302
2002,"Bélgica","BEL",284.583218002249
2003,"Bélgica","BEL",264.264844865728
2004,"Bélgica","BEL",251.990306262678
2005,"Bélgica","BEL",236.822282237944
2006,"Bélgica","BEL",224.6867081322
2007,"Bélgica","BEL",212.849283396775
2008,"Bélgica","BEL",205.813836768037
2009,"Bélgica","BEL",213.507421274635
2010,"Bélgica","BEL",198.83742882221
2011,"Bélgica","BEL",190.621406788982
2012,"Bélgica","BEL",193.407826929945
2013,"Bélgica","BEL",189.89080662205
2014,"Bélgica","BEL",199.280613042798
2015,"Bélgica","BEL",197.769459542611
2016,"Bélgica","BEL",205.382781456954
2017,"Bélgica","BEL",204.949511480574
2018,"Bélgica","BEL",214.245431777395
2019,"Bélgica","BEL",224.67434873568
2020,"Bélgica","BEL",236.965333970816
2021,"Bélgica","BEL",229.111487221031
2022,"Bélgica","BEL",226.403894928029
1900,"Bolivia","BOL",31.9005018546803
1901,"Bolivia","BOL",32.9557830538009
1902,"Bolivia","BOL",33.7566381897945
1903,"Bolivia","BOL",30.5724470538897
1904,"Bolivia","BOL",28.7062524577271
1905,"Bolivia","BOL",27.2317403065825
1906,"Bolivia","BOL",27.8530670470756
1907,"Bolivia","BOL",28.436706565107
1908,"Bolivia","BOL",27.7234517069823
1909,"Bolivia","BOL",28.0020352781547
1910,"Bolivia","BOL",28.1352593565332
1911,"Bolivia","BOL",29.2078378831017
1912,"Bolivia","BOL",28.716053350474
1913,"Bolivia","BOL",30.7666886979511
1914,"Bolivia","BOL",33.6120083602508
1915,"Bolivia","BOL",34.7708373622123
1916,"Bolivia","BOL",37.3249441851025
1917,"Bolivia","BOL",44.0071958623791
1918,"Bolivia","BOL",37.9563453737686
1919,"Bolivia","BOL",37.1087080250427
1920,"Bolivia","BOL",34.8988439306358
1921,"Bolivia","BOL",33.4176757636002
1922,"Bolivia","BOL",34.5410628019324
1923,"Bolivia","BOL",32.3193304361822
1924,"Bolivia","BOL",32.1318069306931
1925,"Bolivia","BOL",34.3204738274372
1926,"Bolivia","BOL",33.8831291234684
1927,"Bolivia","BOL",34.5509433962264
1928,"Bolivia","BOL",34.4444444444444
1929,"Bolivia","BOL",34.8513144663123
1930,"Bolivia","BOL",35.0761187144395
1931,"Bolivia","BOL",34.4769308771337
1932,"Bolivia","BOL",33.4698966868543
1933,"Bolivia","BOL",33.8530838530839
1934,"Bolivia","BOL",34.2470223527492
1935,"Bolivia","BOL",34.5139771283354
1936,"Bolivia","BOL",35.760102629891
1937,"Bolivia","BOL",36.212927756654
1938,"Bolivia","BOL",37.4518564165768
1939,"Bolivia","BOL",37.6285541439806
1940,"Bolivia","BOL",40.2080506558119
1941,"Bolivia","BOL",41.1456055968518
1942,"Bolivia","BOL",41.8802167227998
1943,"Bolivia","BOL",43.8343834383438
1944,"Bolivia","BOL",39.5670639813673
1945,"Bolivia","BOL",42.7192856114072
1946,"Bolivia","BOL",38.8784292630446
1947,"Bolivia","BOL",34.4797830374753
1948,"Bolivia","BOL",35.6784519827998
1949,"Bolivia","BOL",38.3219390926041
1950,"Bolivia","BOL",37.8789784878601
1951,"Bolivia","BOL",39.6858768241405
1952,"Bolivia","BOL",43.0509376246841
1953,"Bolivia","BOL",36.9288196679109
1954,"Bolivia","BOL",36.130007558579
1955,"Bolivia","BOL",35.3857211308098
1956,"Bolivia","BOL",32.2768281101614
1957,"Bolivia","BOL",29.5577254451465
1958,"Bolivia","BOL",28.360673786194
1959,"Bolivia","BOL",30.0574575053866
1960,"Bolivia","BOL",28.8906443967949
1961,"Bolivia","BOL",27.34375
1962,"Bolivia","BOL",29.1302906398497
1963,"Bolivia","BOL",31.5353651523864
1964,"Bolivia","BOL",29.7374550074105
1965,"Bolivia","BOL",28.3505662235352
1966,"Bolivia","BOL",29.9126637554585
1967,"Bolivia","BOL",30.656862745098
1968,"Bolivia","BOL",31.6070577014783
1969,"Bolivia","BOL",30.1239190514398
1970,"Bolivia","BOL",29.8049660623765
1971,"Bolivia","BOL",29.2676830792302
1972,"Bolivia","BOL",29.5973705834018
1973,"Bolivia","BOL",29.6036561342684
1974,"Bolivia","BOL",29.0123456790123
1975,"Bolivia","BOL",30.9748184767496
1976,"Bolivia","BOL",33.2309388783869
1977,"Bolivia","BOL",32.4040495618012
1978,"Bolivia","BOL",34.7798135647702
1979,"Bolivia","BOL",32.232728381882
1980,"Bolivia","BOL",31.3455657492355
1981,"Bolivia","BOL",33.4845360824742
1982,"Bolivia","BOL",33.038961038961
1983,"Bolivia","BOL",30.4458598726115
1984,"Bolivia","BOL",30.0836360564332
1985,"Bolivia","BOL",31.9045433685177
1986,"Bolivia","BOL",28.7103777681285
1987,"Bolivia","BOL",28.6254620476231
1988,"Bolivia","BOL",30.11383849164
1989,"Bolivia","BOL",32.7913018377754
1990,"Bolivia","BOL",34.1525258435732
1991,"Bolivia","BOL",32.1637269008725
1992,"Bolivia","BOL",29.282728067068
1993,"Bolivia","BOL",28.3927648532629
1994,"Bolivia","BOL",27.743454552567
1995,"Bolivia","BOL",29.5386452969913
1996,"Bolivia","BOL",28.8689738875061
1997,"Bolivia","BOL",27.7092710273263
1998,"Bolivia","BOL",27.694623810863
1999,"Bolivia","BOL",28.4436697379874
2000,"Bolivia","BOL",29.0456266122842
2001,"Bolivia","BOL",30.5193192658647
2002,"Bolivia","BOL",34.6741103406848
2003,"Bolivia","BOL",32.3211327798229
2004,"Bolivia","BOL",30.5329410713148
2005,"Bolivia","BOL",28.9709477109638
2006,"Bolivia","BOL",27.7851460338702
2007,"Bolivia","BOL",26.3439710586225
2008,"Bolivia","BOL",26.5872109909401
2009,"Bolivia","BOL",28.9188371087263
2010,"Bolivia","BOL",27.0904169038443
2011,"Bolivia","BOL",26.6510023496476
2012,"Bolivia","BOL",28.1187815704883
2013,"Bolivia","BOL",29.1299753434308
2014,"Bolivia","BOL",31.3141844341344
2015,"Bolivia","BOL",31.7916111168085
2016,"Bolivia","BOL",33.6688741721854
2017,"Bolivia","BOL",33.963864833383
2018,"Bolivia","BOL",36.0834032911735
2019,"Bolivia","BOL",37.4817943018583
2020,"Bolivia","BOL",37.8175694494726
2021,"Bolivia","BOL",36.0772688155597
2022,"Bolivia","BOL",35.4440724652639
1900,"Brasil","BRA",19.0704778529348
1901,"Brasil","BRA",20.474842082335
1902,"Brasil","BRA",21.2652966982221
1903,"Brasil","BRA",19.2912560285175
1904,"Brasil","BRA",18.0495477782147
1905,"Brasil","BRA",16.6816952209197
1906,"Brasil","BRA",17.706847360913
1907,"Brasil","BRA",17.6278563656148
1908,"Brasil","BRA",16.2120432321153
1909,"Brasil","BRA",16.9436906377205
1910,"Brasil","BRA",16.2508207485227
1911,"Brasil","BRA",18.0204320884274
1912,"Brasil","BRA",16.7443355294874
1913,"Brasil","BRA",17.2835426305354
1914,"Brasil","BRA",19.0765722971689
